,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
53,C,王志华;苗洪霞;李建伟;,高校优秀辅导员评价标准研究,教育研究,2012,v.33;No.392,9,86-90+98,1002-5731,高等学校;辅导员;评价标准;扎根研究,曲阜师范大学学生工作部;曲阜师范大学教育科学学院;浙江工商大学学生工作部;,"高校辅导员在大学生思想政治教育、日常教育和管理,以及大学生成长成才的过程中发挥着极其重要的作用,运用科学的、实证的研究方法制定出优秀辅导员的评价标准对于今后辅导员的选聘、考核和管理都具有重大的理论参考意义和实践操作价值。基于对1504名大学辅导员和109名学工干部的问卷调研而确立的优秀辅导员评价标准具有较理想的概括性、准确性和实际操作性。"
54,C,蓝青;,民族地区高校辅导员工作刍议,贵州民族研究,2012,v.33;No.148,6,212-214,1002-6959,民族地区高校;辅导员;思想政治教育;大学生,贵阳医学院神奇民族医药学院;,"辅导员是高校思想政治教育工作的一支重要力量,担负着育人的重任。要做好辅导员工作,辅导员首先要有使命感,对自己所从事的职业要有认同感;其次,在实际工作中要当好大学生的指导者和引路人,做学生学习的榜样;第三,在工作的方式方法上,要有亲和力和感染力。作为民族地区高校的辅导员,还要认真贯彻党的民族政策,做好不同民族大学生之间的民族团结工作,对少数民族大学生给予更多的关注,使他们与其他大学生一样健康成长。"
55,C,吴俊文;邵莉莉;,构建高校辅导员职业技能标准的困境与原则,中国高等教育,2012,No.489,20,40-41,1002-4417,队伍职业化;专业化建设;职业技能标准;辅导员职业化;辅导员岗位;思想政治教育;主体性;管理模式;发展规划;辅导员素质;,华中师范大学;,"《国家中长期教育改革和发展规划纲要》专门强调要""加强高校辅导员队伍建设"",明确指出了加强高校辅导员队伍职业化、专业化建设的重要意义。然而,长期以来,我国对高校辅导员队伍的能力要求、岗位职责、管理模式、培养发展等仍处于探索阶段,使得目前辅导员队伍职业化、专业化建设问题凸显,尤其是缺乏职业技能的标准,亟待解决。"
56,C,钱静峰;,微博时代辅导员博客建设探析,思想理论教育,2012,No.391,23,84-86,1007-192X,微博时代;网络性格;辅导员博客建设,上海交通大学就业指导中心;,"辅导员博客作为网络思想政治教育工作的重要组成部分,受到微博技术的挑战和自身内容建设不足的困扰,发展遇到瓶颈。因此需要针对微博时代大学生呈现的生存网络信息化、内外多面性、爱好小众化、视角求新求变等网络性格,探讨更具针对和集聚效应的博客构建模式;结合博客发展趋势和大学生成长成才需求,探析更具个性化和互动性的辅导员博客建设视角。"
57,C,湛风涛;,高校辅导员职业能力建设探析,思想理论教育导刊,2012,No.168,12,115-117,1009-2528,高校辅导员;职业能力;职业能力建设,北京师范大学珠海分校;,"提升辅导员职业能力是建设高水平辅导员队伍的重要保障,有利于改进大学生思想政治工作,有利于建设高水平的辅导员队伍,有利于保障高校的和谐稳定发展。针对目前辅导员职业能力建设存在的问题,应从辅导员主动加强学习,积累工作经验,提升综合素质;科学规划职业生涯,明确职业发展方向;高校健全和完善辅导员职业能力建设的机制等方面加强辅导员的职业能力建设。"
58,C,段鑫星;杨康;,心理契约视域下的辅导员职业化发展研究,江苏高教,2013,No.167,1,81-83,1003-8418,心理契约;辅导员;职业化;队伍建设,中国矿业大学文学与法政学院;中国矿业大学理学院;,"将心理契约理论引入辅导员队伍职业化中,对于高校处理好辅导员自身发展与职业发展、辅导员队伍职业化建设具有实践价值。针对辅导员职业化发展中遇到的困境,通过心理契约视角进行破解。文章认为:要促进辅导员的个人发展与成长,构建心理契约互动模式,实行心理契约激励和塑造优秀的团队文化来推进辅导员的职业化发展。"
59,C,余国升;,论辅导员硕士专业学位设置的必要性和可行性,研究生教育研究,2013,No.13,1,26-30,2095-1663,辅导员硕士;专业学位;研究生教育,安徽师范大学;,"论述设置辅导员硕士专业学位的必要性和可行性,提出设置辅导员硕士专业学位的基本构想。文章认为,实施辅导员硕士专业学位研究生教育不仅可破解辅导员专业化不强的难题,而且能从源头上解决辅导员专业化的实现途径问题。"
60,C,毕明生;,“辅教导行”:高校辅导员承担思想政治理论课教学模式探析,思想理论教育导刊,2013,No.169,1,89-92,1009-2528,辅导员;思想政治理论课;“辅教导行”教学模式,安庆职业技术学院院办;,"高校辅导员承担思想政治理论课教学,不仅具有较强的政策依据、理论依据,而且具有十分重要的现实意义。高校辅导员""辅教导行""教学模式,寓教于管,寓管于教,教管结合,重在导行。实施""辅教导行""教学模式,一要坚持""分专题""教学;二要注重""两个课堂""的衔接;三要改革考核评价方式;四要统筹教学与管理。"
61,C,刘翔;,高校流动专职辅导员主体能力提升研究,中国青年研究,2013,No.205,3,111-115,1002-9931,流动专职辅导员;扎根理论;主体能力,浙江大学党委学工部思政中心;,"本文以从事过高校流动辅导员工作的主体视角,通过扎根理论研究高校流动专职辅导员岗位对于主体能力和素质的提升作用。通过调查研究和德尔菲法专家预测的结果表明,高校流动专职辅导员岗位对于促进主体的政治素质、业务能力、发展能力、心理素质、创新素质的提升有明显作用,是实现个体素质全面发展的重要途径和良好平台。"
62,C,王左丹;刘邦卫;,研究生辅导员队伍建设长效机制问题研究,研究生教育研究,2013,No.14,2,25-29,2095-1663,研究生辅导员;队伍建设;长效机制,华南师范大学;,"长效机制的缺失是制约研究生辅导员队伍建设的重要因素。本文从机制建设的视角对研究生辅导员队伍建设展开研究,剖析目前研究生辅导员队伍建设中选聘机制、管理机制、培训机制、考核机制和发展机制中存在的问题,并提出了完善这五大机制的具体对策,力求构建一套研究生辅导员队伍建设的长效机制,确保研究生辅导员队伍建设稳健、高效地进行。"
63,C,许俊杰;,工作坊:高校辅导员专业化发展的路径选择,思想理论教育导刊,2013,No.172,4,126-128,1009-2528,工作坊;辅导员;专业化;路径,安庆师范学院人文与社会学院;,"当前,高校学生工作的职业特征和专业化趋势要求辅导员既要具备有效开展工作的能力,也要充分掌握学生工作的基本规律和现代教育理论。辅导员工作坊结合高校学生工作领域和辅导员工作职责与要求,从全校范围内整合辅导员的专业优势和发展愿望,设计模块化的学生工作专题,为辅导员提供研究、实践和发展的方向选择,通过交流与合作,吸取团队工作经验,充分发挥辅导员队伍的整体优势,促进辅导员向专业化、专家化方向发展。"
64,C,张拥军;甘霖;李金发;,农业高校辅导员队伍建设的现状与对策,中国高等教育,2013,No.498,6,37-39,1002-4417,农业高校;队伍结构;立德树人;内涵式发展;专职辅导员;辅导员岗位;优秀辅导员;人生导师;队伍专业化;政策课;,华中农业大学团委;华中农业大学学生工作部;,"党的十八大指出,要把立德树人作为教育的根本任务,培养德智体美全面发展的社会主义建设者和接班人。辅导员作为高校育人的重要力量,在培养信念执著、品德优良、知识丰富、本领过硬的社会主义建设者和接班人中担负着特殊使命。在新起点进一步加强辅导员队伍建设对于深入贯彻党的十八大精神、推动高等教育内涵式发展、促进学生"
65,C,陈秀;,马克思主体性理论对高校女性辅导员主体性建设的启示,思想理论教育导刊,2013,No.173,5,135-138,1009-2528,马克思主体性理论;高校女性辅导员;主体性;路径,安庆师范学院人文与社会学院;,"从马克思主义对主体和主体性的本质规定可见,高校女性辅导员的主体性包括两层内涵:一是女性辅导员在高等教育事业改革、建设和发展进程中,在从事高校思想政治活动中所表现出来的能动性、创造性和自主性;二是女性辅导员在高校思想政治工作交往活动中表现出来的人与人之间的关系。当前,高校女性辅导员的主体性一定程度上呈现出缺失状态,影响因素也是多方面的。高校女性辅导员在自身主体性建设上,要积极主动、加强主体感知,科学规划、提升主体意识,立足岗位、发挥主体能力,放眼未来、实现主体交往。"
66,C,刘翔;,关于当前高校辅导员队伍建设的几点思考,思想理论教育导刊,2013,No.174,6,120-122,1009-2528,高校;辅导员队伍;建设,浙江大学党委学工部;,"当前辅导员队伍建设存在诸如重视程度不够、角色定位比较模糊、队伍配备不齐、缺乏稳定性、专业化程度有待提高等问题。为此,要进一步提高对辅导员队伍建设重要性的认识,明确辅导员的角色定位和岗位职责,科学构建辅导员队伍职业化培训机制,提高辅导员的专业化水平。"
67,C,王丽萍;姜土生;,高校辅导员队伍专业化、职业化、专家化建设的内涵与逻辑,思想理论教育导刊,2013,No.174,6,123-125,1009-2528,辅导员;专业化;职业化;专家化;内涵,重庆师范大学学生工作部;重庆师范大学经济与管理学院;,"在推进高等教育内涵式发展背景下,以专业化、职业化、专家化为主要方向的辅导员队伍内涵建设更显迫切。反观辅导员队伍专业化、职业化、专家化建设现状,涵义不明、易导致建设思路不清,是影响建设成效的重要原因。辨析专业化、职业化、专家化的内涵,并厘定其逻辑关系,对于辅导员队伍建设意义重大。"
