作者,题名,文献来源,年,期,页码,关键词,机构
张盾,论马克思主义哲学研究应以现代性作为其问题背景,求是学刊,2005,1,41-44,现代性批判;西方马克思主义;实践转向;后马克思主义;现代性问题;卢卡奇;问题背景;马克思哲学革命;马克思学说;霍克海默;,吉林大学哲学基础理论研究中心 研究员吉林大学哲学社会学院教授
韩志伟,现代性的自我批判与马克思哲学视野的变革,求是学刊,2005,1,45-48,现代性批判;自我批判;西方马克思主义;后马克思主义;现代性问题;卢卡奇;马克思学说;霍克海默;利奥塔;葛兰西;,吉林大学哲学基础理论研究中心 专职研究人员哲学博士
漆思,论马克思的现代性批判的三个基本维度,求是学刊,2005,1,48-51,现代性批判;马克思学说;后马克思主义;现代性问题;基本维度;唯物史观批判;政治经济学批判;西方马克思主义;社会批判理论;波德里亚;,中国社会科学院哲学所 博士后吉林大学哲学社会学院讲师
王福生,马克思哲学与现代性的辩证法——以《共产党宣言》为例,求是学刊,2005,1,51-54,现代性批判;西方马克思主义;现代资产阶级;后马克思主义;现代性问题;卢卡奇;马克思学说;霍克海默;利奥塔;葛兰西;,吉林大学哲学基础理论研究中心 专职研究人员哲学博士
何萍,马克思主义哲学中国化研究的问题与视野,安徽大学学报,2005,1,27-33,中国马克思主义哲学;马克思主义中国化;马克思主义哲学;现代化运动,武汉大学哲学学院 湖北武汉430072
邹卫中,欧美生态社会主义的生态价值观及启示,生态经济,2005,2,33-35,生态社会主义;生态价值观;生态危机;稳态经济,西华师范大学政法学院 四川南充637002
韩玉贵;马伟涛,新时期日本新保守主义的发展及对中日关系的影响,南京师大学报(社会科学版),2005,2,57-61,日本;新保守主义;中日关系,"山东师范大学政法学院,山东师范大学政法学院 山东济南250014 ,山东济南250014"
刘卫东,马克思主义新闻理论建设的方法论问题,新闻与传播研究,2005,1,7月9日,新闻理论;方法论问题;人类解放;话语方式;新闻传播领域;民间话语;新闻观;社会文化体系;文本研究;社会主流意识;,天津师范大学新闻传播学院 教授、院长
梅荣政,新自由主义的谱系、流变及影响,当代世界社会主义问题,2005,1,41-46,新自由主义;流变;影响,武汉大学政治与公共管理学院 武汉430072
杜水生,人类起源研究中的社会心理因素分析,河北大学学报(哲学社会科学版),2005,1,7月9日,人类起源研究;科学家;社会心理,北京师范大学历史系 北京100875
时平,郑和航海与天妃信仰史料的补遗及考释,南洋问题研究,2005,1,88-93+99,郑和航海;天妃史料;补遗考释,上海海事大学海洋文化研究所 上海200135
王锟,"寻求""精英思想""与""民众观念""的统一——对中国思想史的一些思考",南京大学学报(哲学.人文科学.社会科学版),2005,2,119-124,西方思想史;中国思想史;精英思想;民众观念,浙江师范大学法政经济学院 浙江金华321004
纪廷许,泡沫经济与日本政治文化的演变,日本学刊,2005,2,111-126,泡沫经济;政治文化;社会结构疲劳;大众意识;新国家主义,北京联合大学旅游学院
田明,中山大学马克思论坛第十五期综述——谈谈当前马克思主义研究中的若干问题,现代哲学,2005,1,58,靳辉明;西方思潮;中国社会科学院;政治生活;私有经济;研究成果;自由主义思潮;国际垄断;极端利己主义;混合制;,
左鹏;彭庆红;,直面社会思潮 求真析理育人——林泰教授学术思想述评,高校理论战线,2006,2,28-36,社会思潮;思想政治教育;唯物史观,"北京科技大学人文学院,北京科技大学人文学院 100083,100083"
钟锡南;,晚明社会文学思潮转型与《金瓶梅》对传统题材的突破,湖南师范大学社会科学学报,2006,1,93-98,社会思潮;个性思潮;晚明社会;金瓶梅,湖南师范大学文学院 湖南长沙410081
倪震;,想象的权利——从《无极》所想到的,电影艺术,2006,2,75-77,东方想象;文化霸权;数字技术;神话,"北京电影学院,"
曾光光;,晚清桐城派嬗变的文化轨迹,江淮论坛,2006,1,131-135,桐城派;晚清;文化;开新;保守,暨南大学历史系 广州510632
马华祥;,《钵中莲》民间社会思潮探微,南京师大学报(社会科学版),2006,1,138-143,《钵中莲》;民间宗教;社会思潮,南京大学中文系 江苏南京210093
周来祥;,生态主义和生态美学,山东大学学报(哲学社会科学版),2006,1,158-160,生态主义;生态美学;生态文明;生态运动;文明发展过程;后现代语境;人与自然;社会生态学;有机整体论;生态中心主义;,山东大学文学与新闻传播学院 博士生导师 著名美学家
张骥;张泗考;,印度文化民族主义及其对印度社会政治的影响,当代世界社会主义问题,2006,1,76-84,印度;印度教;文化民族主义;影响,"河北师范大学法政管理学院,河北师范大学法政管理学院 石家庄050000,石家庄050000"
张振华;孙玲;,中国电影伦理叙事的历史变迁,厦门大学学报(哲学社会科学版),2006,2,122-128,中国电影;伦理叙事;历史变迁,"复旦大学艺术研究中心,复旦大学中文系 上海200433,上海200433"
杨楠;刘洪波;王东;,当代西方社会思潮与我国德育,贵州社会科学,2006,3,93-95+98,当代西方;社会思潮;德育,"贵州大学,西南政法大学,武汉大学 贵州贵阳550025,重庆400031,湖北武汉430070"
李兴耕;,苏联解体以来的俄罗斯社会主义,科学社会主义,2006,2,111-116,俄罗斯;社会主义;苏联解体,"山东大学当代社会主义研究所 兼职研究员,中央编译局研究员(北京100032)"
苏哲;,论主流意识形态对道德建设的引导作用——我国新时期道德构建应以社会主义荣辱观为核心,道德与文明,2006,3,42-45,主流意识形态;价值标准;社会主义荣辱观;道德建设,"天津工业大学党委宣传部 副部长、副教授,天津300160"
王业兴;,《民报》的创办与20世纪初年的社会思潮,学术研究,2006,6,96-102,中国同盟会;《民报》;20世纪初年;社会思潮,"广东技术师范学院,"
王晓林;,现代化不能拒斥现代性——兼论应对西方后现代社会思潮的挑战,中共中央党校学报,2006,3,25-29,现代性;现代化;后现代;社会批判,中共中央党校哲学教研部 北京100091
何爱国;,“激进”;还是“保守”?——对中国近现代社会思潮主潮论争的回顾与反思,福建论坛(人文社会科学版),2006,7,65-72,“保守与激进”之争;近现代;社会思潮;发展模式,复旦大学历史系 上海200433
王丽娟;,《水浒传》的早期接受,海南大学学报(人文社会科学版),2006,2,206-210,《水浒传》;接受;嘉靖时期,华南农业大学人文学院 广东广州510642
范玉红;,民初社会教育思潮中的图书馆,图书馆理论与实践,2006,3,111-112+124,民国初期;社会教育;图书馆,杭州师范学院图书馆 杭州310012
单孝虹;,毛泽东与马克思主义在中国的早期传播,毛泽东思想研究,2006,4,119-122,毛泽东;马克思主义;传播;中国化;历史贡献,四川省社会科学院毛泽东思想研究所 四川成都610071
王新生;,战后“日教组”演变过程简论,日本学刊,2006,4,49-61,日教组;业务评定;教科书审定;社会思潮,"北京大学历史学系,"
左立竞;杨永福;,关于当前中国社会思潮的基本思考,云南师范大学学报(哲学社会科学版),2006,4,45-49,中国;社会思潮;特点;基本思考,"文山师范高等专科学校,文山师范高等专科学校 云南文山663000,云南文山663000"
梁晓萍;,明清家族小说的体裁与叙事倾向,浙江社会科学,2006,4,176-180,明清家族小说;体裁;叙事倾向;家国同构,"南开大学汉语言文化学院,"
夏德美;,葛洪与玄学,管子学刊,2006,3,93-97,两晋之际;葛洪;玄学,北京师范大学历史学院 北京100875
邢兆良;,是“误译”、“误读”;还是主动选择——近代科学文化的传播与近代中国社会思潮的变迁,上海交通大学学报(哲学社会科学版),2006,4,39-44,中体西用;进化论;阶级斗争论;科学理性,上海交通大学人文学院 上海200030
周先慎;,孙悟空形象的时代精神和文化意蕴,东南大学学报(哲学社会科学版),2006,5,63-73+127,西游记;孙悟空;亦真亦幻;童心说;童真童趣,北京大学中文系 北京100871
夏维勇;,日本60年代后期的市民主义与和平运动——以“越平联”运动为中心,国际政治研究,2006,3,174-183,市民主义;和平运动;“越平联”,"云南大学公共管理学院 教师,邮编:650091"
徐乐军;,唐代游仙诗人创作心态论析,华南师范大学学报(社会科学版),2006,4,53-57+158,游仙诗;创作心态;长生;社会思潮;个人遭际,广东农工商职业技术学院政经系 广东广州510507
魏文哲;,略论时代思潮对清末小说批评的影响,南京师大学报(社会科学版),2006,5,137-141,西学;时代思潮;小说批评,江苏省社会科学院文学研究所 江苏南京210013
高慧斌;,试析南朝儒学教育的变迁及影响,社会科学辑刊,2006,5,141-145,南朝;儒学教育;变迁;影响,中央教育科学研究所 北京100088
段廷志;,冷战后的日本防卫战略:基本取向及其对西太平洋和中国海上安全的影响,世界经济与政治论坛,2006,5,77-83,日本;安全战略;基本取向;海上安全,"海军指挥学院,"
刘再起;,论影响新俄罗斯民族文明同一性形成的几个关键因素,国外社会科学,2006,6,12月17日,民族文明;同一性;俄罗斯,"武汉大学经济与管理学院,"
张小兵;王军;,美国现代史学主要流派的演变与反思,宁夏社会科学,2006,6,113-115,美国现代史学;进步主义史学;新保守主义史学;多元文化主义史学;新左派史学,"延安大学,延安大学 陕西延安716000,陕西延安716000"
洪颖;,19世纪中后期以来国外艺术人类学研究述评,思想战线,2006,6,15-23,艺术;艺术人类学;研究取向,云南大学人文学院 云南昆明650091
赵炎才;,清末时期“奢俭”观的学理透视,学术研究,2006,10,105-111,清末;社会思潮;时论;“奢俭”;理性;近代化,"中南财经政法大学人文学院,"
董根明;,晚清社会思潮与陈独秀启蒙思想的形成,中国社会科学院研究生院学报,2006,6,113-118,陈独秀;启蒙思想;晚清;社会思潮,安庆师范学院 副教授
敏敬;,“凯末尔主义”与“泛突厥主义”关系探析,世界民族,2006,6,11月18日,奥斯曼帝国;土耳其;泛突厥主义;凯末尔主义,"兰州大学历史文化学院 兰州,730020,博士研究生"
石本惠;,论中国社会主流意识形态的建构及其整合的功能,社会主义研究,2006,6,18-21,意识形态;功能;整合,"四川省社会科学院《社会科学研究》杂志社,"
刘书林;,贯彻高校思想政治理论课新方案;高质量实施思想道德修养与法律基础课教学,清华大学学报(哲学社会科学版),2006,S2,70-73,思想道德修养与法律基础;教学法改革,清华大学马克思主义研究中心 北京100084
朱双一;,近年来台湾民间宗教信仰素材小说论评——东年、黄凡、阮庆岳等的作品,台湾研究集刊,2006,4,82-89,台湾小说;民间宗教信仰;东年;黄凡;阮庆岳,厦门大学台湾研究中心 福建厦门361005
王新刚;赵晓龙;,论民族主义对近现代国际关系的影响,西北大学学报(哲学社会科学版),2006,6,107-110,民族主义;民族国家;国际关系;国际体系,"西北大学中东研究所,西北大学中东研究所 陕西西安710069,陕西西安710069"
陈友冰;,接受史研究中的另类思考——从《李贺诗歌接受史》谈起,山西大学学报(哲学社会科学版),2007,1,97-102,接受史;研究;思考,安徽省社会科学院 安徽合肥055100
刘少杰;,制度变迁中的意识形态分化与整合,江海学刊,2007,1,111-117+239,制度变迁;意识形态;社会整合,"中国人民大学社会学理论与方法研究中心,"
邱光政;,巩固马克思主义在思想领域的主导地位,毛泽东思想研究,2007,1,127-130,马克思主义;巩固;主导;指导思想,西南大学政法学院 重庆北碚400715
陈居渊;,20世纪清代学术史研究范式的历史考察,史学理论研究,2007,1,87-97+159-160,清代;学术史;范式;变迁,"复旦大学哲学系 副教授,邮编:200433"
苑洁;,国外后社会主义研究的理论视角,当代世界与社会主义,2007,1,4月10日,国外;后社会主义;理论视角,"中央局当代所,"
王晓林;,反现代性发展思潮:历史·理论·挑战,教学与研究,2007,2,42-47,现代性;反现代性;发展思潮,中共中央党校哲学教研部 北京100091
